Subject_ID,amp,abs_2,abs_3,abs_4,abs_5,abs_6,rel_angle
CEM-CDC-KA2603191130,0.19900147164589482,0.13152288772359144,0.11021089261961887,0.12814227345366763,0.12451963592814944,0.12845236896913514,0.09334288900530836
CEM-CDC-AL1107191100,0.14771577598209312,0.13229135847267012,0.10618313811936207,0.11205651678926164,0.10095228047531773,0.12493616461663123,0.08887374700607692
CEM-CDC-PM2111191300,0.3571800659811496,0.185639610769557,0.15555774733859473,0.18685276878484006,0.19396140423163163,0.1828045763951317,0.13458631192721918
CEM-CDC-GS2606191230,0.13732565610808037,0.21879614826913274,0.15557493670445802,0.1371378654611434,0.17568081272781536,0.15719646432552653,0.12552194357660015
CEM-CDC-AF1202191200,0.48148890844637215,0.20622172060769764,0.15355130504946177,0.19173239320434265,0.16143821830709326,0.17857780346917615,0.1326820634641717
CEM-CDC-NV1102191000,0.260952879070104,0.13330456811628677,0.12414989926461997,0.13820888018258246,0.12109056580205874,0.13630813409556514,0.10661076349291805
CEM-CDC-BS0307191205,0.27846123986307064,0.16047120745285623,0.12326368732121448,0.1395053831409924,0.12401992063782886,0.1489163070141407,0.11426101172461364
CEM-CDC-YP2711191300,0.1786476744531192,0.13611446719837667,0.11240933018991218,0.11967979144449016,0.11036847389558105,0.12387208223089138,0.08506072093361494
CEM-CDC-MA2811190930,0.21016736762865024,0.12406990935554849,0.10569986789402938,0.12591997943122216,0.10939851871038113,0.11687391737782568,0.08487571041274156
CEM-CDC-MR1311181030,0.31084318003664396,0.20440294421812177,0.1353766857935274,0.1742691890972525,0.14996710164670993,0.17379611828166422,0.13661153841369114
CEM-CDC-VC2111190930,0.2795222896407554,0.2041768569834858,0.155739754225487,0.1489692675057687,0.15376902623884267,0.15649801424064155,0.1609465662484335
CEM-CDC-HP1311191300,0.21409950897888816,0.15570036019530745,0.14364906084716728,0.12986146698798734,0.1572379515757161,0.16146160480031568,0.12676635107866094
CEM-CDC-AD0407190930,0.25094555329318863,0.128555198805977,0.11435056755100885,0.11555628792271208,0.11207216497337837,0.13426492816847474,0.09095241243242422
CEM-CDC-SJ2703191000,0.11565796695341482,0.12873559763512316,0.11671152714272648,0.1282870501801591,0.10603934886439124,0.1264433108167482,0.09379805738069906
